name,characteristics,cost_in_game,image
El Rune,Rune 1 of 33 / runeword material,20,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Eld Rune,Rune 2 of 33 / runeword material,25,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Tir Rune,Rune 3 of 33 / runeword material,25,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Nef Rune,Rune 4 of 33 / runeword material,30,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Eth Rune,Rune 5 of 33 / runeword material,30,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Ith Rune,Rune 6 of 33 / runeword material,30,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Tal Rune,Rune 7 of 33 / runeword material,35,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Ral Rune,Rune 8 of 33 / runeword material,40,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Ort Rune,Rune 9 of 33 / runeword material,40,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Thul Rune,Rune 10 of 33 / runeword material,45,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23E8A33D%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2228%22%20y%3D%2216%22%20width%3D%2244%22%20height%3D%2268%22%20rx%3D%2212%22%20fill%3D%22%23E8A33D%22%2F%3E%0A%20%20%20%20%3Cpath%20d%3D%22M42%2C32%20L58%2C32%20L42%2C52%20L58%2C52%20L42%2C72%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%225%22%20fill%3D%22none%22%20stroke-linejoin%3D%22round%22%20stroke-linecap%3D%22round%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
